commodity,target_variant,model,mae_mean,rmse_mean,rmse_median,r2_mean,r2_median,n_windows
corn,deseason_winsor,seasonal_naive,0.03606919194646206,0.04773003008990096,0.04540394103943647,0.03763954543006933,0.095463630185325,14
corn,deseason_winsor,hist_gbdt,0.03698633932420393,0.048846363764546805,0.05109558885404659,-0.029064613713868655,-0.002652373241971262,14
corn,deseason_winsor,elastic_net,0.0411000697186093,0.05197837629778463,0.04936113724454477,-0.27430758088616886,0.06406664012474361,14
corn,raw,seasonal_naive,0.03606919194646206,0.04773003008990096,0.04540394103943647,0.03763954543006933,0.095463630185325,14
corn,raw,hist_gbdt,0.03684795191802167,0.04812903194228167,0.04909383735831208,0.007103805308185408,0.03267403041721845,14
corn,raw,elastic_net,0.0415029558212906,0.052284359752317884,0.048622670364392384,-0.3129162573783367,0.01947106284162453,14
soybean,deseason_winsor,hist_gbdt,0.03212597259048397,0.042405503029185714,0.040772112061744734,-0.0025692731187656947,0.09459457979887642,14
soybean,deseason_winsor,seasonal_naive,0.03264395975190127,0.042766595811229206,0.040380000757484234,-0.015426086037853306,0.09380276987984837,14
soybean,deseason_winsor,elastic_net,0.03382391595141611,0.04385382762607642,0.0412453364477903,-0.12373653363228646,0.08175018462350397,14
soybean,raw,hist_gbdt,0.03274376866326304,0.04260747642236693,0.04249591941482968,-0.005388299780174347,0.010642661246011986,14
soybean,raw,seasonal_naive,0.03264395975190127,0.042766595811229206,0.040380000757484234,-0.015426086037853306,0.09380276987984837,14
soybean,raw,elastic_net,0.03531359662194047,0.04511253332719821,0.038635073822883295,-0.21803880863436573,0.04132056608095597,14
wheat,deseason_winsor,seasonal_naive,0.03569883950575519,0.04659733765879544,0.04777097839899745,0.016754329379168265,0.03603733388182373,14
wheat,deseason_winsor,hist_gbdt,0.03705704414286241,0.047366245317449804,0.04737426955210472,-0.0792326793544107,-0.03676756470116582,14
wheat,deseason_winsor,elastic_net,0.03766220006157377,0.04914916852569252,0.045292746506574444,-0.16984709758477787,0.014435195135049872,14
wheat,raw,hist_gbdt,0.035311960417790535,0.045249865385280925,0.04277347135324046,0.043447502449996116,0.044122921625015354,14
wheat,raw,seasonal_naive,0.03569883950575519,0.04659733765879544,0.04777097839899745,0.016754329379168265,0.03603733388182373,14
wheat,raw,elastic_net,0.03783833924058165,0.04928836226452082,0.04432648851502796,-0.17452534730972058,0.02562141712313276,14
