date,futures_price,futures_return,commodity,price_source,usd_index,interest_rate,vix,enso_oni,disaster_event_count,disaster_storm_count,disaster_fire_count,disaster_flood_count,temperature_anomaly,precipitation_anomaly,drought_index,extreme_heat_events
2006-01-31,218.75,0.013809195274187225,corn,ZC=F,100.00000454545456,4.24,12.036,-0.85,436.0,0.0,370.0,0.0,,,,
2006-02-28,228.0,0.04141610371671689,corn,ZC=F,100.21117000000001,4.43,12.471052631578948,-0.77,44.0,0.0,3.0,0.0,,,,
2006-03-31,236.0,0.03448617607116944,corn,ZC=F,100.42808695652174,4.51,11.69391304347826,-0.57,69.0,0.0,2.0,0.0,,,,
2006-04-30,238.25,0.009488737508701384,corn,ZC=F,99.74348,4.6,11.84736842105263,-0.37,37.0,0.0,5.0,0.0,,,,
2006-05-31,251.25,0.053127916838973555,corn,ZC=F,97.51177391304348,4.72,14.454545454545455,-0.14,31.0,0.0,2.0,0.0,,,,
2006-06-30,235.5,-0.06473754591681313,corn,ZC=F,98.69272272727272,4.79,16.918636363636363,-0.03,87.0,0.0,15.0,9.0,,,,
2006-07-31,239.0,0.014752638475038715,corn,ZC=F,98.4387142857143,4.95,15.325999999999999,0.1,70.0,0.0,11.0,0.0,,,,
2006-08-31,232.0,-0.02972618026520113,corn,ZC=F,97.7137652173913,4.96,13.351739130434783,0.3,40.0,0.0,12.0,3.0,,,,
2006-09-30,262.5,0.12351371036536829,corn,ZC=F,97.98136190476191,4.81,12.1845,0.54,43.0,0.0,6.0,0.0,,,,
2006-10-31,320.75,0.20041092146406747,corn,ZC=F,98.31565454545454,4.92,11.306363636363637,0.77,20.0,0.0,2.0,0.0,,,,
2006-11-30,377.0,0.16158318395226523,corn,ZC=F,97.51328181818181,4.94,10.817619047619049,0.94,27.0,0.0,2.0,0.0,,,,
2006-12-31,390.25,0.034542371947530626,corn,ZC=F,96.79507142857143,4.85,10.9645,0.94,71.0,0.0,1.0,0.0,,,,
2007-01-31,404.0,0.03462731856560897,corn,ZC=F,97.83377727272727,4.98,11.0425,0.66,245.0,0.0,0.0,0.0,,,,
2007-02-28,425.25,0.05126235331482043,corn,ZC=F,97.47642499999999,5.03,11.155263157894737,0.22,118.0,0.0,1.0,0.0,,,,
2007-03-31,374.5,-0.12708542831869707,corn,ZC=F,97.01175454545455,4.94,15.162727272727272,-0.12,169.0,0.0,2.0,0.0,,,,
2007-04-30,358.0,-0.04505881655657351,corn,ZC=F,95.6322,4.87,12.933000000000002,-0.32,61.0,0.0,3.0,4.0,,,,
2007-05-31,390.25,0.08625457299484118,corn,ZC=F,94.72254782608697,4.73,13.297727272727274,-0.38,167.0,0.0,23.0,0.0,,,,
2007-06-30,329.5,-0.16921120545297974,corn,ZC=F,94.44490952380953,4.61,14.947619047619046,-0.47,168.0,0.0,14.0,0.0,,,,
2007-07-31,325.75,-0.011446137937607404,corn,ZC=F,93.20591363636363,4.82,17.273333333333333,-0.56,129.0,0.0,14.0,0.0,,,,
2007-08-31,324.0,-0.005386700212625328,corn,ZC=F,93.76029565217392,4.2,25.02608695652174,-0.81,121.0,0.0,10.0,0.0,,,,
2007-09-30,373.0,0.1408349038514869,corn,ZC=F,92.436595,3.89,22.198947368421056,-1.07,41.0,0.0,5.0,0.0,,,,
2007-10-31,375.5,0.0066800515603731014,corn,ZC=F,90.40017826086957,3.9,19.115652173913045,-1.34,30.0,0.0,24.0,0.0,,,,
2007-11-30,384.5,0.023685317741509948,corn,ZC=F,89.05299545454545,3.27,25.58238095238095,-1.5,2.0,0.0,1.0,0.0,,,,
2007-12-31,455.5,0.16945192775431384,corn,ZC=F,90.00495714285714,3.0,21.651,-1.6,389.0,0.0,0.0,0.0,,,,
2008-01-31,501.25,0.09570926192076623,corn,ZC=F,89.39711739130435,2.75,25.816190476190474,-1.64,60.0,0.0,0.0,0.0,,,,
2008-02-29,546.0,0.0855139971241261,corn,ZC=F,88.6434380952381,2.12,25.456,-1.52,133.0,0.0,7.0,0.0,,,,
2008-03-31,567.25,0.03818114791504623,corn,ZC=F,86.83986666666667,1.26,27.103500000000004,-1.29,416.0,0.0,240.0,0.0,,,,
2008-04-30,600.25,0.05654611144141164,corn,ZC=F,86.54753636363635,1.29,21.562727272727273,-1.01,25.0,0.0,5.0,0.0,,,,
2008-05-31,599.25,-0.0016673617868692148,corn,ZC=F,86.82446363636363,1.73,18.303333333333335,-0.84,201.0,0.0,5.0,31.0,,,,
2008-06-30,724.75,0.19014789448727143,corn,ZC=F,87.07280476190476,1.86,22.11047619047619,-0.61,288.0,0.0,31.0,0.0,,,,
2008-07-31,587.5,-0.2099505217834512,corn,ZC=F,86.45375652173914,1.63,24.321818181818184,-0.37,151.0,0.0,5.0,2.0,,,,
2008-08-31,568.25,-0.033314783285661065,corn,ZC=F,88.94499523809525,1.72,20.695714285714285,-0.23,396.0,0.0,1.0,0.0,,,,
2008-09-30,487.5,-0.15327117229475107,corn,ZC=F,91.26510909090909,1.13,30.23857142857143,-0.24,339.0,0.0,2.0,0.0,,,,
2008-10-31,401.5,-0.19408275705108569,corn,ZC=F,98.04,0.67,61.17739130434782,-0.35,167.0,0.0,2.0,0.0,,,,
2008-11-30,349.5,-0.13870397171295146,corn,ZC=F,100.76666,0.19,62.66894736842105,-0.55,66.0,0.0,10.0,0.0,,,,
2008-12-31,407.0,0.1523096237687298,corn,ZC=F,99.66224782608695,0.03,52.405,-0.73,58.0,0.0,0.0,0.0,,,,
2009-01-31,379.0,-0.07127698036016827,corn,ZC=F,100.35208421052631,0.13,44.683,-0.85,316.0,0.0,1.0,25.0,,,,
2009-02-28,350.75,-0.07746248609985606,corn,ZC=F,102.97372631578948,0.3,45.57052631578947,-0.79,179.0,0.0,3.0,0.0,,,,
