date,temperature_anomaly,precipitation_anomaly,drought_index,extreme_heat_events,enso_oni,disaster_event_count,disaster_storm_count,disaster_fire_count,disaster_flood_count,commodity,climate_location_code
1980-01-31,21.6,1.01,2.99,29.8,0.59,0.0,0.0,0.0,0.0,corn,261
1980-02-29,20.3,0.91,2.65,29.2,0.46,17.0,0.0,0.0,14.0,corn,261
1980-03-31,31.8,2.21,2.65,41.3,0.34,0.0,0.0,0.0,0.0,corn,261
1980-04-30,48.6,1.88,-0.63,60.6,0.38,28.0,0.0,1.0,12.0,corn,261
1980-05-31,60.9,2.72,-1.18,73.8,0.48,61.0,0.0,0.0,6.0,corn,261
1980-06-30,68.8,4.3,-0.91,81.0,0.46,8.0,0.0,1.0,0.0,corn,261
1980-07-31,76.2,2.83,-1.29,88.6,0.25,4.0,0.0,0.0,4.0,corn,261
1980-08-31,73.5,5.8,1.24,84.8,0.03,37.0,0.0,0.0,25.0,corn,261
1980-09-30,64.5,2.95,-0.04,77.1,-0.07,20.0,0.0,0.0,12.0,corn,261
1980-10-31,48.4,1.81,-0.06,60.5,0.02,22.0,0.0,0.0,1.0,corn,261
1980-11-30,38.6,0.7,-0.84,49.3,0.11,5.0,0.0,4.0,0.0,corn,261
1980-12-31,26.2,1.08,-1.25,35.2,-0.01,0.0,0.0,0.0,0.0,corn,261
1981-01-31,22.8,0.24,-2.03,33.5,-0.26,0.0,0.0,0.0,0.0,corn,261
1981-02-28,28.1,1.62,-1.97,39.0,-0.5,0.0,0.0,0.0,0.0,corn,261
1981-03-31,38.6,1.31,-2.58,50.5,-0.47,6.0,0.0,0.0,0.0,corn,261
1981-04-30,53.8,3.63,0.04,66.1,-0.37,1.0,0.0,0.0,0.0,corn,261
1981-05-31,57.1,3.98,0.39,68.8,-0.26,11.0,0.0,0.0,11.0,corn,261
1981-06-30,70.0,4.59,0.6,81.5,-0.29,13.0,0.0,0.0,5.0,corn,261
1981-07-31,73.3,4.75,1.38,83.8,-0.3,3.0,0.0,1.0,0.0,corn,261
1981-08-31,70.2,4.57,2.27,80.9,-0.25,2.0,0.0,1.0,1.0,corn,261
1981-09-30,62.5,2.49,2.04,74.7,-0.16,3.0,0.0,2.0,1.0,corn,261
1981-10-31,49.1,2.37,2.29,60.1,-0.13,9.0,0.0,0.0,9.0,corn,261
1981-11-30,40.3,1.71,2.34,50.4,-0.15,6.0,0.0,0.0,6.0,corn,261
1981-12-31,23.3,1.44,2.46,31.5,-0.08,1.0,0.0,1.0,0.0,corn,261
1982-01-31,11.0,2.38,3.18,21.3,-0.05,10.0,0.0,0.0,10.0,corn,261
1982-02-28,21.6,0.81,2.75,31.2,0.07,0.0,0.0,0.0,0.0,corn,261
1982-03-31,34.3,2.73,2.99,43.7,0.19,12.0,0.0,0.0,12.0,corn,261
1982-04-30,44.6,2.3,2.57,56.6,0.47,18.0,0.0,1.0,1.0,corn,261
1982-05-31,62.8,5.39,3.01,73.7,0.66,4.0,0.0,0.0,4.0,corn,261
1982-06-30,64.3,3.47,2.73,75.7,0.72,20.0,0.0,0.0,18.0,corn,261
1982-07-31,74.0,4.42,3.05,85.1,0.79,5.0,0.0,0.0,5.0,corn,261
1982-08-31,70.0,3.48,3.06,81.1,1.07,9.0,0.0,0.0,9.0,corn,261
1982-09-30,62.0,2.63,2.73,72.9,1.58,3.0,0.0,0.0,3.0,corn,261
1982-10-31,51.8,2.76,2.88,63.5,1.97,0.0,0.0,0.0,0.0,corn,261
1982-11-30,36.4,3.24,3.68,45.4,2.18,2.0,0.0,0.0,0.0,corn,261
1982-12-31,31.5,3.35,4.77,39.8,2.23,75.0,0.0,0.0,14.0,corn,261
1983-01-31,25.0,0.72,4.22,32.2,2.18,20.0,0.0,0.0,20.0,corn,261
1983-02-28,30.2,0.89,3.73,38.4,1.92,40.0,0.0,0.0,0.0,corn,261
1983-03-31,37.0,2.93,3.87,45.2,1.54,1.0,0.0,1.0,0.0,corn,261
1983-04-30,43.6,3.4,4.08,53.1,1.29,49.0,0.0,0.0,34.0,corn,261
1983-05-31,55.8,4.55,4.42,67.2,1.06,1.0,0.0,0.0,0.0,corn,261
1983-06-30,68.8,4.44,4.22,80.1,0.72,31.0,0.0,0.0,1.0,corn,261
1983-07-31,76.9,2.55,3.19,88.9,0.31,7.0,0.0,1.0,6.0,corn,261
1983-08-31,77.1,2.46,1.88,89.6,-0.08,14.0,0.0,0.0,5.0,corn,261
1983-09-30,64.5,2.77,1.36,77.6,-0.46,2.0,0.0,0.0,2.0,corn,261
1983-10-31,51.7,3.26,1.66,62.2,-0.81,32.0,0.0,0.0,32.0,corn,261
1983-11-30,38.9,4.03,2.46,46.8,-1.0,3.0,0.0,0.0,0.0,corn,261
1983-12-31,11.1,1.92,2.69,18.8,-0.91,5.0,0.0,0.0,1.0,corn,261
1984-01-31,18.6,0.61,2.28,27.2,-0.6,6.0,0.0,0.0,0.0,corn,261
1984-02-29,32.4,1.4,2.34,41.1,-0.42,1.0,0.0,0.0,0.0,corn,261
1984-03-31,29.3,2.44,2.52,37.3,-0.34,26.0,0.0,0.0,0.0,corn,261
1984-04-30,46.7,4.86,3.54,56.1,-0.43,26.0,0.0,0.0,20.0,corn,261
1984-05-31,56.9,4.2,3.66,68.2,-0.51,68.0,0.0,0.0,21.0,corn,261
1984-06-30,70.7,4.7,3.55,82.0,-0.45,35.0,0.0,0.0,22.0,corn,261
1984-07-31,72.1,3.08,3.15,84.0,-0.3,59.0,0.0,0.0,34.0,corn,261
1984-08-31,73.4,1.9,1.89,85.8,-0.16,23.0,0.0,4.0,19.0,corn,261
1984-09-30,60.7,2.53,1.53,73.1,-0.24,13.0,0.0,0.0,7.0,corn,261
1984-10-31,53.1,4.38,2.46,63.0,-0.56,8.0,0.0,0.0,8.0,corn,261
1984-11-30,37.6,2.27,2.59,48.0,-0.92,0.0,0.0,0.0,0.0,corn,261
1984-12-31,27.9,2.27,3.03,37.5,-1.14,3.0,0.0,0.0,0.0,corn,261
1985-01-31,16.1,1.01,2.83,25.6,-1.04,7.0,0.0,0.0,5.0,corn,261
1985-02-28,21.1,1.62,3.0,30.6,-0.85,0.0,0.0,0.0,0.0,corn,261
1985-03-31,40.3,3.14,3.15,50.8,-0.77,47.0,0.0,0.0,25.0,corn,261
1985-04-30,53.5,2.41,2.17,65.8,-0.78,0.0,0.0,0.0,0.0,corn,261
1985-05-31,62.7,3.48,1.6,75.1,-0.78,24.0,0.0,4.0,20.0,corn,261
1985-06-30,66.2,3.08,1.09,78.2,-0.63,17.0,0.0,0.0,0.0,corn,261
