date,usd_index,interest_rate,vix
1960-01-31,,4.35,
1960-02-29,,3.96,
1960-03-31,,3.31,
1960-04-30,,3.23,
1960-05-31,,3.29,
1960-06-30,,2.46,
1960-07-31,,2.3,
1960-08-31,,2.3,
1960-09-30,,2.48,
1960-10-31,,2.3,
1960-11-30,,2.37,
1960-12-31,,2.25,
1961-01-31,,2.24,
1961-02-28,,2.42,
1961-03-31,,2.39,
1961-04-30,,2.29,
1961-05-31,,2.29,
1961-06-30,,2.33,
1961-07-31,,2.24,
1961-08-31,,2.39,
1961-09-30,,2.28,
1961-10-31,,2.3,
1961-11-30,,2.48,
1961-12-31,,2.6,
1962-01-31,,2.72,
1962-02-28,,2.73,
1962-03-31,,2.72,
1962-04-30,,2.73,
1962-05-31,,2.69,
1962-06-30,,2.73,
1962-07-31,,2.92,
1962-08-31,,2.82,
1962-09-30,,2.78,
1962-10-31,,2.74,
1962-11-30,,2.83,
1962-12-31,,2.87,
1963-01-31,,2.91,
1963-02-28,,2.92,
1963-03-31,,2.89,
1963-04-30,,2.9,
1963-05-31,,2.93,
1963-06-30,,2.99,
1963-07-31,,3.18,
1963-08-31,,3.32,
1963-09-30,,3.38,
1963-10-31,,3.45,
1963-11-30,,3.52,
1963-12-31,,3.52,
1964-01-31,,3.52,
1964-02-29,,3.53,
1964-03-31,,3.54,
1964-04-30,,3.47,
1964-05-31,,3.48,
1964-06-30,,3.48,
1964-07-31,,3.46,
1964-08-31,,3.5,
1964-09-30,,3.53,
1964-10-31,,3.57,
1964-11-30,,3.64,
1964-12-31,,3.84,
1965-01-31,,3.81,
1965-02-28,,3.93,
1965-03-31,,3.93,
1965-04-30,,3.93,
1965-05-31,,3.89,
1965-06-30,,3.8,
1965-07-31,,3.84,
1965-08-31,,3.84,
1965-09-30,,3.92,
1965-10-31,,4.03,
1965-11-30,,4.09,
1965-12-31,,4.38,
1966-01-31,,4.59,
1966-02-28,,4.65,
1966-03-31,,4.59,
1966-04-30,,4.62,
1966-05-31,,4.64,
1966-06-30,,4.5,
1966-07-31,,4.8,
1966-08-31,,4.96,
