date,price_proxy,commodity,price_source,price_source_detail,futures_price,futures_return
1980-01-31,2.45,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.45,
1980-02-29,2.39,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.39,-0.02479465861321639
1980-03-31,2.4,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.4,0.004175371410480522
1980-04-30,2.36,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.36,-0.016807118316381153
1980-05-31,2.42,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.42,0.025105921131076347
1980-06-30,2.49,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.49,0.02851517030802131
1980-07-31,2.73,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.73,0.09201889872025204
1980-08-31,2.92,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.92,0.06728200708332199
1980-09-30,3.01,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.01,0.03035646248059387
1980-10-31,2.99,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.99,-0.006666691358189203
1980-11-30,3.1,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.1,0.03612872408850554
1980-12-31,3.19,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.19,0.02861880530565264
1981-01-31,3.19,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.19,0.0
1981-02-28,3.22,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.22,0.009360442759563714
1981-03-31,3.25,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.25,0.00927363678532922
1981-04-30,3.24,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.24,-0.0030816665374080454
1981-05-31,3.24,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.24,0.0
1981-06-30,3.17,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.17,-0.02184174191504895
1981-07-31,3.14,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.14,-0.00950878796902721
1981-08-31,2.87,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.87,-0.08991077014863214
1981-09-30,2.55,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.55,-0.11821867060119506
1981-10-31,2.45,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.45,-0.04000533461369904
1981-11-30,2.34,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.34,-0.04593709518702571
1981-12-31,2.39,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.39,0.02114243657380932
1982-01-31,2.54,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.54,0.060870715087025906
1982-02-28,2.44,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.44,-0.04016604172533478
1982-03-31,2.46,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.46,0.008163310639160981
1982-04-30,2.55,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.55,0.03593200922606332
1982-05-31,2.6,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.6,0.019418085857101586
1982-06-30,2.57,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.57,-0.011605546120307952
1982-07-31,2.5,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.5,-0.027615167032973287
1982-08-31,2.3,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.3,-0.08338160893905122
1982-09-30,2.15,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.15,-0.06744128079553247
1982-10-31,1.98,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.98,-0.08237099743312759
1982-11-30,2.13,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.13,0.07302513501488983
1982-12-31,2.26,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.26,0.05924283356286075
1983-01-31,2.36,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.36,0.043296805753324286
1983-02-28,2.56,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.56,0.08134563945395246
1983-03-31,2.71,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.71,0.05694137640013841
1983-04-30,2.95,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.95,0.08485653546011884
1983-05-31,3.03,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.03,0.026757449169549252
1983-06-30,3.04,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.04,0.003294895896852612
1983-07-31,3.13,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.13,0.02917548913393153
1983-08-31,3.35,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.35,0.06792734128491329
1983-09-30,3.32,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.32,-0.008995562908578059
1983-10-31,3.15,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.15,-0.052562330090855314
1983-11-30,3.17,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.17,0.00632913505164745
1983-12-31,3.15,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.15,-0.00632913505164745
1984-01-31,3.15,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.15,0.0
1984-02-29,3.11,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.11,-0.012779726646398926
1984-03-31,3.21,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.21,0.03164821095078163
1984-04-30,3.32,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.32,0.03369384578647261
1984-05-31,3.34,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.34,0.006006024060212001
1984-06-30,3.36,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.36,0.0059701669865037665
1984-07-31,3.3,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.3,-0.01801850550267825
1984-08-31,3.12,corn,USDA_NASS_PRICE_RECEIVED,CORN,3.12,-0.05608946665104342
1984-09-30,2.9,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.9,-0.07312226482896289
1984-10-31,2.65,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.65,-0.09015109699429746
1984-11-30,2.55,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.55,-0.03846628082779602
1984-12-31,2.56,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.56,0.003913899321136394
1985-01-31,2.64,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.64,0.030771658666753687
1985-02-28,2.62,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.62,-0.007604599385219291
1985-03-31,2.67,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.67,0.018904154639152626
1985-04-30,2.7,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.7,0.011173300598125269
1985-05-31,2.68,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.68,-0.0074349784875180625
1985-06-30,2.64,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.64,-0.015037877364540542
1985-07-31,2.6,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.6,-0.015267472130788495
1985-08-31,2.44,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.44,-0.06351340572232589
1985-09-30,2.29,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.29,-0.0634462217389622
1985-10-31,2.11,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.11,-0.0818638700781732
1985-11-30,2.21,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.21,0.04630456804168637
1985-12-31,2.29,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.29,0.03555930203648683
1986-01-31,2.33,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.33,0.017316450011460982
1986-02-28,2.32,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.32,-0.004301081899390713
1986-03-31,2.29,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.29,-0.013015368112070269
1986-04-30,2.3,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.3,0.004357305368955622
1986-05-31,2.39,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.39,0.038384243008315444
1986-06-30,2.32,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.32,-0.029726180265200797
1986-07-31,2.0,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.0,-0.14842000511827325
1986-08-31,1.73,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.73,-0.14502577205025768
1986-09-30,1.45,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.45,-0.1765578520772046
1986-10-31,1.4,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.4,-0.035091319811270116
1986-11-30,1.47,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.47,0.04879016416943199
1986-12-31,1.5,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.5,0.020202707317519497
1987-01-31,1.48,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.48,-0.013423020332140712
1987-02-28,1.42,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.42,-0.041385216162854344
1987-03-31,1.47,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.47,0.03460552917747556
1987-04-30,1.52,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.52,0.03344793406754015
1987-05-31,1.66,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.66,0.08810726751026682
1987-06-30,1.69,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.69,0.01791092656653026
1987-07-31,1.6,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.6,-0.05472489968924649
1987-08-31,1.47,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.47,-0.08474122845509074
1987-09-30,1.49,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.49,0.013513719166722893
1987-10-31,1.55,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.55,0.039478810973787526
1987-11-30,1.61,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.61,0.03797924806521641
1987-12-31,1.72,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.72,0.06609011182899
1988-01-31,1.77,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.77,0.028655255760376086
1988-02-29,1.83,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.83,0.03333642026759176
1988-03-31,1.86,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.86,0.016260520871780426
1988-04-30,1.88,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.88,0.010695289116747775
1988-05-31,1.94,corn,USDA_NASS_PRICE_RECEIVED,CORN,1.94,0.03141619623337899
1988-06-30,2.41,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.41,0.2169387744273269
1988-07-31,2.72,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.72,0.12100513280534231
1988-08-31,2.65,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.65,-0.026072240309775174
1988-09-30,2.6,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.6,-0.019048194970694432
1988-10-31,2.58,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.58,-0.007722046093910251
1988-11-30,2.51,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.51,-0.02750664578983364
1988-12-31,2.53,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.53,0.007936549595736309
1989-01-31,2.6,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.6,0.02729214228800758
1989-02-28,2.59,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.59,-0.003853569315990013
1989-03-31,2.6,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.6,0.003853569315990013
1989-04-30,2.56,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.56,-0.015504186535965192
1989-05-31,2.58,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.58,0.007782140442054941
1989-06-30,2.52,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.52,-0.023530497410194195
1989-07-31,2.47,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.47,-0.020040750883446035
1989-08-31,2.27,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.27,-0.08443831914657451
1989-09-30,2.29,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.29,0.008771986072836913
1989-10-31,2.22,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.22,-0.031044621681960094
1989-11-30,2.24,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.24,0.008968669982760358
1989-12-31,2.27,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.27,0.013303965626362824
1990-01-31,2.31,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.31,0.017467693040390864
1990-02-28,2.32,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.32,0.004319661144516318
1990-03-31,2.37,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.37,0.02132276946882128
1990-04-30,2.51,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.51,0.057392797996652645
1990-05-31,2.62,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.62,0.042891564629313095
1990-06-30,2.63,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.63,0.003809528416667596
1990-07-31,2.62,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.62,-0.003809528416667596
1990-08-31,2.51,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.51,-0.042891564629313095
1990-09-30,2.32,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.32,-0.07871556746547392
1990-10-31,2.19,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.19,-0.05766564184980916
1990-11-30,2.16,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.16,-0.01379332213233564
1990-12-31,2.22,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.22,0.027398974188114433
1991-01-31,2.27,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.27,0.02227263560912318
1991-02-28,2.32,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.32,0.02178735418490718
1991-03-31,2.39,corn,USDA_NASS_PRICE_RECEIVED,CORN,2.39,0.029726180265200797
